Page path and screen class,Total users_current,Key events_current,Engagement rate_current,User key event rate_current,Week_Start_current,Total users_previous,Key events_previous,Engagement rate_previous,User key event rate_previous,Week_Start_previous,Users_Change,Users_Change_Pct,Key_Events_Change,Key_Events_Change_Pct,Engagement_Change,Week_Comparison,Current_Week,Previous_Week
/about/isca,1.0,0.0,1.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,1.0,100.0,0.0,0.0,1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/isca/,17.0,0.0,0.7756410256410257,0.0,2025-09-08 00:00:00,7.0,0.0,0.6,0.0,2025-09-01 00:00:00,10.0,142.85714285714286,0.0,0.0,0.17564102564102568,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/methodology,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,-1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/methodology.,2.0,0.0,0.5,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,2.0,100.0,0.0,0.0,0.5,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/news,1.0,0.0,0.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,1.0,100.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/payfactors-free-terms-of-use,2.0,0.0,0.75,0.0,2025-09-08 00:00:00,2.0,0.0,1.0,0.0,2025-09-01 00:00:00,0.0,0.0,0.0,0.0,-0.25,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/payfactors-free-terms-of-use/,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,-1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/payfactors-product-and-services-guide,13.0,0.0,0.8266666666666665,0.0,2025-09-08 00:00:00,11.0,0.0,0.95,0.0,2025-09-01 00:00:00,2.0,18.181818181818183,0.0,0.0,-0.1233333333333334,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/payfactors-product-and-services-guide/,13.0,0.0,0.8333333333333334,0.0,2025-09-08 00:00:00,13.0,0.0,0.95,0.0,2025-09-01 00:00:00,0.0,0.0,0.0,0.0,-0.11666666666666659,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/payfactors-terms-and-conditions,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,-1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
